"Ligand: 54454
"
Pharma Model,Num Feature,Fit,Norm Fit,Num Hydrophobic,Num HB Acceptor,Num HB Donor,Num Positive,Num Negative,Num Aromatic,Name,Class,Uniplot,Function,Disease,"Idication
"
1wvc_A_cavity_2,4,3.548,0.8869,4,0,0,0,0,0,Glucose-1-phosphate cytidylyltransferase,NONE,P26396,Involved in nucleotidyltransferase activity,NONE,"NONE
"
4dkl_A_cavity_5,4,3.533,0.8832,4,0,0,0,0,0,NONE,NONE,NONE,NONE,NONE,"NONE
"
1f81_A_cavity_1,4,3.499,0.8748,4,0,0,0,0,0,CREB-binding protein,NONE,P45481,NONE,NONE,"NONE
"
3emj_G_cavity_1,4,3.413,0.8532,4,0,0,0,0,0,Inorganic pyrophosphatase,NONE,Q9ZCW5,NONE,NONE,"NONE
"
2opx_A_cavity_3,4,3.33,0.8325,4,0,0,0,0,0,Lactaldehyde dehydrogenase,NONE,P25553,NONE,NONE,"NONE
"
3fwc_A_cavity_2,4,3.283,0.8207,4,0,0,0,0,0,Cell division control protein 31,NONE,P06704,NONE,NONE,"NONE
"
1ivx_B_cavity_2,5,4.07,0.814,4,1,0,0,0,0,Phenylethylamine oxidase,OXIDOREDUCTASE,PAOX_ARTGO,NONE,NONE,"NONE
"
1osa_A_cavity_2,4,3.198,0.7994,4,0,0,0,0,0,Calmodulin,NONE,P07463,Involved in calcium ion binding,NONE,"NONE
"
1ud9_A_cavity_1,4,3.166,0.7914,4,0,0,0,0,0,DNA polymerase sliding clamp A,NONE,Q975N2,NONE,NONE,"NONE
"
2k9p_A_cavity_1,4,3.152,0.7879,4,0,0,0,0,0,Pheromone alpha factor receptor,NONE,P06842,NONE,NONE,"NONE
"
2yxr_A_cavity_3,4,3.149,0.7874,4,0,0,0,0,0,Preprotein translocase subunit secY,NONE,Q60175,NONE,NONE,"NONE
"
1ieb_A_cavity_1,4,3.148,0.7871,4,0,0,0,0,0,"H-2 class II histocompatibility antigen, E-D alpha chain",NONE,P01904,NONE,NONE,"NONE
"
1oqp_A_cavity_1,4,3.077,0.7692,4,0,0,0,0,0,Caltractin,NONE,P05434,NONE,NONE,"NONE
"
1fft_C_cavity_1,4,3.072,0.768,4,0,0,0,0,0,Ubiquinol oxidase subunit 1,NONE,P0ABI8,NONE,NONE,"NONE
"
1ku5_A_cavity_1,4,3.069,0.7672,4,0,0,0,0,0,Archaeal histone A,NONE,O74098,Involved in sequence-specific DNA binding,NONE,"NONE
"
2ayn_C_cavity_2,5,3.822,0.7644,3,1,0,1,0,0,Ubiquitin carboxyl-terminal hydrolase 14,HYDROLASE,UBP14_HUMAN,NONE,NONE,"NONE
"
1win_A_cavity_1,5,3.794,0.7588,3,1,0,1,0,0,Flotillin-2,NONE,Q60634,NONE,NONE,"NONE
"
1cpc_B_cavity_1,5,3.74,0.7481,3,1,0,1,0,0,C-phycocyanin-1 alpha chain,NONE,P07122,NONE,NONE,"NONE
"
3fqd_A_cavity_8,5,3.728,0.7455,3,1,0,0,1,0,5-3 exoribonuclease 2,NONE,P40848,NONE,NONE,"NONE
"
1wde_A_cavity_2,5,3.72,0.744,3,1,0,1,0,0,Probable diphthine synthase,NONE,Q9YDI2,NONE,NONE,"NONE
"
1vjh_A_cavity_1,5,3.592,0.7184,4,1,0,0,0,0,Uncharacterized protein At1g24000,NONE,P0C0B0,NONE,NONE,"NONE
"
1fi6_A_cavity_2,5,3.554,0.7109,5,0,0,0,0,0,RalBP1-associated Eps domain-containing protein 1,NONE,O54916,NONE,NONE,"NONE
"
1pul_A_cavity_1,5,3.532,0.7064,4,1,0,0,0,0,TPPP family protein C32E8.3,NONE,P91127,NONE,NONE,"NONE
"
2uyy_B_cavity_2,5,3.5,0.7,4,1,0,0,0,0,Putative oxidoreductase GLYR1,NONE,Q49A26,NONE,NONE,"NONE
"
1x65_A_cavity_1,6,4.188,0.6979,4,1,0,0,1,0,Cold shock domain-containing protein E1,NONE,O75534,NONE,NONE,"NONE
"
1bsl_B_cavity_1,5,3.466,0.6931,4,0,0,0,1,0,Alkanal monooxygenase beta chain,NONE,P07739,NONE,NONE,"NONE
"
2dgu_A_cavity_2,5,3.457,0.6914,3,1,0,0,1,0,Heterogeneous nuclear ribonucleoprotein Q,NONE,O60506,NONE,NONE,"NONE
"
1l0v_P_cavity_2,5,3.417,0.6833,5,0,0,0,0,0,Fumarate reductase flavoprotein subunit,OXIDOREDUCTASE,FRDA_ECOLI,"Two distinct, membrane-bound, FAD-containing enzymes are responsible for the catalysis of fumarate and succinate interconversion; the fumarate reductase is used in anaerobic growth, and the succinate dehydrogenase is used in aerobic growth.",NONE,"NONE
"
2cpi_A_cavity_2,5,3.416,0.6833,4,0,1,0,0,0,CCR4-NOT transcription complex subunit 4,NONE,Q8BT14,NONE,NONE,"NONE
"
1sfk_D_cavity_1,5,3.412,0.6825,5,0,0,0,0,0,Genome polyprotein,NONE,P14335,NONE,NONE,"NONE
"
2os6_A_cavity_1,5,3.351,0.6702,5,0,0,0,0,0,Rho guanine nucleotide exchange factor 12,CELL ADHESION,ARHGC_HUMAN,May play a role in the regulation of RhoA GTPase by guanine nucleotide-binding alpha-12 (GNA12) and alpha-13 (GNA13). Acts as guanine nucleotide exchange factor (GEF) for RhoA GTPase and may act as GTPase-activating protein (GAP) for GNA12 and GNA13.,A chromosomal aberration involving ARHGEF12 may be a cause of acute leukemia. Translocation t(11;11)(q23;23) with MLL.,"NONE
"
1ukf_A_cavity_1,6,4.013,0.6688,4,1,0,0,1,0,Cysteine protease avirulence protein avrPphB,NONE,Q52430,NONE,NONE,"NONE
"
1igw_B_cavity_1,6,4.013,0.6688,5,1,0,0,0,0,Isocitrate lyase,NONE,P0A9G6,NONE,NONE,"NONE
"
2qby_A_cavity_4,5,3.344,0.6688,5,0,0,0,0,0,Cell division control protein 6 homolog 1,NONE,Q980N4,NONE,NONE,"NONE
"
2tpr_B_cavity_3,5,3.331,0.6662,5,0,0,0,0,0,Trypanothione reductase,NONE,P39040,Energy production and conversion,NONE,"NONE
"
1jk0_B_cavity_1,5,3.289,0.6579,3,0,1,1,0,0,Ribonucleoside-diphosphate reductase small chain 1,NONE,P09938,NONE,NONE,"NONE
"
1vf5_B_cavity_2,5,3.284,0.6569,5,0,0,0,0,0,Cytochrome b6,NONE,P83791,Involved in oxidoreductase activity,NONE,"NONE
"
1zte_C_cavity_1,5,3.283,0.6567,5,0,0,0,0,0,"Superoxide dismutase [Mn], mitochondrial",NONE,P04179,NONE,NONE,"NONE
"
1w60_B_cavity_1,6,3.919,0.6531,1,2,1,1,1,0,Proliferating cell nuclear antigen,DNA-BINDING PROTEIN,PCNA_HUMAN,This protein is an auxiliary protein of DNA polymerase delta and is involved in the control of eukaryotic DNA replication by increasing the polymerases processibility during elongation of the leading strand.,Antibodies are present in sera from patients with systemic lupus erythematosus.,"Cancer
"
1vmd_B_cavity_1,7,4.567,0.6525,4,1,1,0,1,0,Methylglyoxal synthase,NONE,Q9X0R7,NONE,NONE,"NONE
"
2gfp_B_cavity_6,5,3.259,0.6518,5,0,0,0,0,0,Multidrug resistance protein D,NONE,P31442,NONE,NONE,"NONE
"
1nsh_B_cavity_1,5,3.259,0.6518,5,0,0,0,0,0,Protein S100-A11,NONE,P24480,NONE,NONE,"NONE
"
1zag_D_cavity_1,6,3.909,0.6515,4,1,0,1,0,0,Zinc-alpha-2-glycoprotein,LIPID MOBILIZATION FACTOR,ZA2G_HUMAN,Stimulates lipid degradation in adipocytes and causes the extensive fat losses associated with some advanced cancers. May bind polyunsaturated fatty acids.,NONE,"NONE
"
1tg6_A_cavity_2,6,3.896,0.6494,4,1,0,0,1,0,"Putative ATP-dependent Clp protease proteolytic subunit, mitochondrial",HYDROLASE,CLPP_HUMAN,Clp cleaves peptides in various proteins in a process that requires ATP hydrolysis. Clp may be responsible for a fairly general and central housekeeping function rather than for the degradation of specific substrates.,NONE,"NONE
"
2a7w_C_cavity_1,6,3.893,0.6488,5,1,0,0,0,0,Phosphoribosyl-ATP pyrophosphatase,NONE,Q7P0E6,NONE,NONE,"NONE
"
1xjv_A_cavity_3,5,3.234,0.6469,3,1,0,0,1,0,Protection of telomeres protein 1,NONE,Q9NUX5,NONE,NONE,"NONE
"
1b0a_A_cavity_2,5,3.21,0.6421,5,0,0,0,0,0,Bifunctional protein folD,NONE,P24186,NONE,NONE,"NONE
"
1tnq_A_cavity_1,5,3.204,0.6408,5,0,0,0,0,0,"Troponin C, skeletal muscle",NONE,P02588,Involved in calcium ion binding,NONE,"NONE
"
1yf6_L_cavity_3,6,3.832,0.6387,4,1,0,1,0,0,Reaction center protein H chain,NONE,P0C0Y7,NONE,NONE,"NONE
"
1q78_A_cavity_5,5,3.186,0.6373,3,1,0,1,0,0,Poly(A) polymerase alpha,NONE,P25500,Involved in nucleotidyltransferase activity,NONE,"NONE
"
3b6x_B_cavity_1,5,3.183,0.6366,5,0,0,0,0,0,General odorant-binding protein lush,NONE,O02372,Involved in odorant binding,NONE,"NONE
"
2ay0_E_cavity_1,5,3.177,0.6354,5,0,0,0,0,0,Bifunctional protein putA,NONE,P09546,Energy production and conversion,NONE,"NONE
"
3fku_T_cavity_1,6,3.787,0.6311,5,1,0,0,0,0,Hemagglutinin,NONE,Q6J8F6,NONE,NONE,"NONE
"
