"Ligand: 60823
",,,,,,,,,,,,,,,,,,,,
Pharma Model,Num Feature,Fit,Norm Fit,zscore,Num Hydrophobic,Num HB Acceptor,Num HB Donor,Num Positive,Num Negative,Num Aromatic,Name,Class,Uniplot,Function,Disease,Idication,,,,"
"
2q1l_v,10,5.104,0.5104,4.83485,6,2,1,0,1,0,3-hydroxy-3-methylglutaryl-coenzyme A reductase,OXIDOREDUCTASE,HMDH_HUMAN,This transmembrane glycoprotein is involved in the control of cholesterol biosynthesis. It is the rate-limiting enzyme of sterol biosynthesis.,NONE,Alzheimers disease;Renal disease;Lipid metabolism disorder;Cardiac failure;Hyperlipidemia;Intermittent claudication;Myocardial infarction;Coronary artery disease;Glioma;Hypercholesterolemia;Atherosclerosis;Peripheral arterial occlusive disease;Cardiovascular disease;Congestive heart failure;Angina;Hypertension;Heart disease;Cerebrovascular ischemia;Osteoporosis,,,,"
"
3hl5_v,6,4.379,0.7298,4.68664,2,2,1,1,0,0,Baculoviral IAP repeat-containing protein 4,NONE,P98170,Involved in caspase inhibition and apoptosis suppression,NONE,NONE,,,,"
"
1tc8_v,5,4.101,0.8201,3.69149,3,2,0,0,0,0,Phospholipase A2 isoform 1,NONE,Q6SLM2,Involved in phospholipase A2 activity,NONE,NONE,,,,"
"
1xpg_v,8,3.905,0.4881,3.55749,1,4,2,0,1,0,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase,NONE,Q9X112,Cell wall/membrane/envelope biogenesis,NONE,NONE,,,,"
"
1jff_v,8,4.365,0.5457,3.19891,6,2,0,0,0,0,NONE,NONE,NONE,NONE,NONE,NONE,,,,"
"
3hvt_v,4,3.739,0.9347,3.1599,4,0,0,0,0,0,Gag-Pol polyprotein,NUCLEOTIDYLTRANSFERASE,POL_HV1B1,"Gag-Pol polyprotein and Gag polyprotein may regulate their own translation, by the binding genomic RNA in the 5-UTR. At low concentration, Gag-Pol and Gag would promote translation, whereas at high concentration, the polyproteins encapsidate genomic RNA ;Matrix protein p17 has two main functions: in infected cell, it targets Gag and Gag-pol polyproteins to the plasma membrane via a multipartite membrane-binding signal, that includes its myristoylated N-terminus. The second function is to plays a role in n;Capsid protein p24 forms the conical core that encapsulates the genomic RNA-nucleocapsid complex in the virion. Most core are conical, with only 7% tubular. The core is constituted by capsid protein hexamer subunits. The core is dissassembled soon after v;Nucleocapsid protein p7 encapsulates and protects viral dimeric unspliced (genomic) RNA. Binds these RNAs through its zinc fingers. Facilitates rearangement of nucleic acid secondary structure during retrotranscription of genomic RNA. This capability is r;The aspartyl protease mediates proteolytic cleavages of Gag and Gag-Pol polyproteins during or shortly after the release of the virion from the plasma membrane. Cleavages take place as an ordered, step-wise cascade to yield mature proteins. This process i;Reverse transcriptase/ribonuclease H (RT) is a multifunctional enzyme that converts the viral RNA genome into dsDNA in the cytoplasm, shortly after virus entry into the cell. This enzyme displays a DNA polymerase activity that can copy either DNA or RNA t;Integrase catalyzes viral DNA integration into the host chromosome, by performing a series of DNA cutting and joining reactions. This enzyme activity takes place after virion entry into a cell and reverse transcription of the RNA genome in dsDNA. The firs",NONE,NONE,,,,"
"
1j99_v,4,3.764,0.9409,3.07864,3,0,1,0,0,0,Bile salt sulfotransferase,NONE,Q06520,Involved in sulfotransferase activity,NONE,NONE,,,,"
"
1qpd_v,6,4.125,0.6875,3.04151,4,1,1,0,0,0,Proto-oncogene tyrosine-protein kinase LCK,TRANSFERASE,LCK_HUMAN,Tyrosine kinase that plays an essential role for the selection and maturation of developing T-cell in the thymus and in mature T-cell function. Is constitutively associated with the cytoplasmic portions of the CD4 and CD8 surface receptors and plays a key,A chromosomal aberration involving LCK is found in leukemias. Translocation t(1;7)(p34;q34) with TCRB.,Psoriasis;Cancer;Rheumatoid arthritis;Cardiac failure;Atherosclerosis;Delayed hypersensitivity;Transplant rejection;Inflammation;Multiple sclerosis;Autoimmune disease,,,,"
"
1x77_v,8,3.729,0.4661,3.03453,2,3,1,0,1,1,Hypothetical protein,NONE,Q9I4D4,Has NAD(P)H-dependent FMN reductase activity.,NONE,NONE,,,,"
"
